# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	313
#@/user_id	vito-macbook
xian yao 	先要	c=1 d=0.802519 t=313
xie ge 	写个	c=1 d=0.740818 t=313
xie le 	写了	c=1 d=0.748264 t=313
xie yi shou 	写一手	c=1 d=0.878095 t=313
xin de 	新的	c=1 d=0.537944 t=313
xin jian 	新建	c=5 d=3.0428 t=313
xin ku le 	辛苦了	c=1 d=0.527292 t=313
xin xi 	信息	c=1 d=0.891366 t=313
xu ni 	虛擬	c=1 d=0.771052 t=313
xue xi 	學習	c=0 d=0.099005 t=313
yan chang 	延長	c=1 d=0.937067 t=313
yao bu yao 	要不要	c=1 d=0.891366 t=313
yi ge 	一个	c=1 d=0.70822 t=313
yi ji 	以及	c=2 d=1.54653 t=313
yi jing 	已经	c=1 d=0.937067 t=313
yi yang 	一样	c=1 d=0.822835 t=313
yi zhang 	一張	c=1 d=0.774916 t=313
yin cang 	隱藏	c=1 d=0.718924 t=313
ying gai 	应该	c=1 d=0.701173 t=313
yong hu 	用戶	c=5 d=2.6004 t=313
you 	有	c=2 d=1.22939 t=313
you duo shao 	有多少	c=1 d=0.860708 t=313
yu que 	语雀	c=1 d=0.535261 t=313
yuan cheng 	遠程	c=1 d=0.985112 t=313
yun xing 	运行	c=1 d=0.865022 t=313
yun xing 	雲興	c=1 d=0.767206 t=313
zai 	在	c=1 d=0.847894 t=313
zhe li 	着力	c=1 d=0.822835 t=313
zhe li 	这里	c=1 d=0.826959 t=313
zheng zai 	正在	c=1 d=0.759572 t=313
zheng ze 	正則	c=1 d=0.831104 t=313
zhi ding 	指定	c=1 d=0.980199 t=313
zhi hou 	之後	c=1 d=0.923116 t=313
zhi hou 	徵候	c=1 d=0.918512 t=313
zhi jie 	直接	c=1 d=0.628135 t=313
zhi jie 	肢解	c=1 d=0.625002 t=313
zhong 	中	c=1 d=0.932394 t=313
zhong wen 	中文	c=1 d=0.980199 t=313
zhu ce 	註冊	c=1 d=0.923116 t=313
zhu ti 	主題	c=1 d=0.733447 t=313
zi dai 	自带	c=1 d=0.767206 t=313
zi dong 	自动	c=1 d=0.856415 t=313
zi ji 	自己	c=2 d=1.36325 t=313
zi jie 	字節	c=1 d=0.818731 t=313
zi yuan 	資源	c=3 d=1.74361 t=313
zi yuan wen jian 	資源文件	c=1 d=0.909373 t=313
zu jian 	組件	c=1 d=0.965605 t=313
